Data point,Count,Police Shooting rate,Population,"Total Crime per 10,0000","Violent Crime per 10,0000","Property Crime per 10,0000",Murder,Rape*,Robbery,assault,Burglary,Theft,Car Theft,Land area,Gun rate,Joined year
PA 2018,21.0000,0.3125,12800922.0000,1794.6000,305.4000,1489.2000,6.1000,35.1000,77.0000,187.3000,211.3000,1175.2000,102.6000,44820.0000,0.2710,1787
PA 2019,12.0000,0.3125,12801989.0000,1709.8000,306.4000,1403.4000,5.2000,34.0000,76.1000,191.1000,182.4000,1124.2000,96.8000,44820.0000,0.2710,1787
RI 2015,0.0000,3.7893,1055607.0000,2141.2000,243.0000,1898.2000,2.9000,32.4000,51.8000,144.0000,373.1000,1393.9000,131.3000,1034.0000,0.0580,1790
RI 2016,2.0000,3.7864,1056426.0000,2137.6000,238.9000,1898.7000,2.7000,31.0000,51.1000,143.2000,358.6000,1389.0000,151.1000,1034.0000,0.0580,1790
RI 2017,1.0000,3.7861,1056486.0000,1993.3000,234.2000,1759.1000,2.0000,43.0000,44.9000,144.3000,304.7000,1314.0000,140.5000,1034.0000,0.0580,1790
RI 2018,1.0000,3.7797,1058287.0000,1885.2000,219.8000,1665.4000,1.5000,46.7000,42.8000,128.8000,266.2000,1253.9000,145.3000,1034.0000,0.0580,1790
RI 2019,0.0000,3.7759,1059361.0000,1755.9000,221.1000,1534.8000,2.4000,46.3000,39.5000,132.9000,219.1000,1187.5000,128.2000,1034.0000,0.0580,1790
SC 2015,19.0000,0.8172,4894834.0000,3826.1000,499.5000,3326.6000,8.3000,35.1000,80.7000,360.6000,713.9000,2344.9000,267.8000,30111.0000,0.4440,1788
SC 2016,17.0000,0.8063,4961119.0000,3745.6000,501.8000,3243.8000,7.4000,34.5000,81.3000,365.0000,664.7000,2298.5000,280.6000,30111.0000,0.4440,1788
SC 2017,12.0000,0.7966,5021219.0000,3699.9000,506.1000,3193.8000,7.6000,51.3000,77.4000,369.9000,620.7000,2288.9000,284.2000,30111.0000,0.4440,1788
SC 2018,12.0000,0.7868,5084156.0000,3575.6000,500.8000,3074.8000,8.1000,52.1000,70.7000,370.0000,589.2000,2191.7000,294.0000,30111.0000,0.4440,1788
SC 2019,14.0000,0.7769,5148714.0000,3451.6000,511.3000,2940.3000,9.0000,47.8000,64.0000,390.5000,533.4000,2116.1000,290.8000,30111.0000,0.4440,1788
SD 2015,3.0000,4.6624,857919.0000,2336.0000,384.9000,1951.1000,3.8000,42.8000,25.1000,297.7000,346.1000,1465.9000,139.2000,75898.0000,0.3500,1889
SD 2016,4.0000,4.6219,865454.0000,2399.0000,418.4000,1980.6000,3.1000,43.8000,31.4000,325.0000,346.6000,1460.4000,173.6000,75898.0000,0.3500,1889
SD 2017,3.0000,4.5804,873286.0000,2329.3000,429.8000,1899.5000,3.1000,65.8000,30.2000,330.6000,324.6000,1406.8000,168.1000,75898.0000,0.3500,1889
SD 2018,1.0000,4.5522,878698.0000,2125.2000,396.4000,1728.8000,1.4000,70.2000,25.3000,299.5000,284.7000,1278.8000,165.2000,75898.0000,0.3500,1889
SD 2019,3.0000,4.5215,884659.0000,2170.0000,399.0000,1771.0000,1.9000,72.6000,22.0000,302.5000,299.1000,1273.4000,198.5000,75898.0000,0.3500,1889
TN 2015,19.0000,0.6065,6595056.0000,3591.5000,618.9000,2972.6000,6.3000,30.8000,113.7000,456.4000,663.4000,2111.6000,197.6000,41220.0000,0.3940,1796
TN 2016,21.0000,0.6014,6651194.0000,3487.0000,632.9000,2854.1000,7.3000,29.9000,117.5000,467.3000,606.1000,2020.7000,227.3000,41220.0000,0.3940,1796
TN 2017,24.0000,0.5962,6708794.0000,3606.8000,655.0000,2951.8000,8.0000,45.1000,117.3000,484.5000,578.6000,2096.3000,276.8000,41220.0000,0.3940,1796
TN 2018,25.0000,0.5907,6771631.0000,3479.0000,630.4000,2848.6000,7.5000,44.5000,106.7000,471.8000,495.3000,2048.4000,304.9000,41220.0000,0.3940,1796
TN 2019,29.0000,0.5857,6829174.0000,3247.8000,595.2000,2652.6000,7.3000,41.2000,90.1000,456.7000,437.4000,1934.4000,280.9000,41220.0000,0.3940,1796
TX 2015,99.0000,0.1458,27429639.0000,3253.5000,412.7000,2840.8000,4.8000,32.6000,116.4000,246.6000,558.0000,2036.7000,246.1000,261914.0000,0.3570,1845
TX 2016,76.0000,0.1436,27862596.0000,3194.2000,434.4000,2759.8000,5.3000,35.4000,119.6000,261.6000,533.8000,1978.1000,247.8000,261914.0000,0.3570,1845
TX 2017,62.0000,0.1412,28322717.0000,2991.0000,437.8000,2553.2000,5.0000,51.3000,113.4000,268.1000,471.2000,1842.2000,239.8000,261914.0000,0.3570,1845
TX 2018,72.0000,0.1397,28628666.0000,2792.1000,412.9000,2379.2000,4.6000,52.7000,99.0000,256.5000,411.8000,1722.9000,244.5000,261914.0000,0.3570,1845
TX 2019,88.0000,0.1380,28995881.0000,2809.6000,418.9000,2390.7000,4.9000,51.1000,100.0000,263.0000,392.8000,1730.6000,267.2000,261914.0000,0.3570,1845
UT 2015,10.0000,1.3375,2990632.0000,3241.3000,238.7000,3002.6000,1.9000,41.7000,44.4000,135.4000,421.5000,2289.3000,291.8000,82168.0000,0.3190,1896
UT 2016,8.0000,1.3110,3051217.0000,3194.3000,242.8000,2951.5000,2.4000,36.6000,50.5000,140.1000,420.7000,2223.2000,307.7000,82168.0000,0.3190,1896
UT 2017,7.0000,1.2890,3103118.0000,3020.1000,242.2000,2777.9000,2.4000,56.7000,48.3000,134.9000,379.6000,2093.2000,305.0000,82168.0000,0.3190,1896
UT 2018,19.0000,1.2684,3153550.0000,2658.7000,239.4000,2419.3000,2.0000,58.8000,39.2000,139.4000,319.6000,1852.1000,247.6000,82168.0000,0.3190,1896
UT 2019,11.0000,1.2477,3205958.0000,2404.9000,235.6000,2169.3000,2.2000,56.8000,35.1000,141.4000,276.7000,1682.4000,210.2000,82168.0000,0.3190,1896
VA 2015,18.0000,0.4780,8367587.0000,2085.5000,199.6000,1885.9000,4.7000,21.1000,53.3000,111.8000,257.4000,1530.5000,98.0000,39598.0000,0.2930,1788
VA 2016,17.0000,0.4755,8411808.0000,2077.0000,217.6000,1859.4000,5.8000,23.4000,57.1000,122.2000,238.0000,1505.1000,116.4000,39598.0000,0.2930,1788
VA 2017,22.0000,0.4725,8465207.0000,2012.1000,210.4000,1801.7000,5.6000,35.7000,51.2000,117.9000,218.8000,1462.6000,120.2000,39598.0000,0.2930,1788
VA 2018,18.0000,0.4705,8501286.0000,1885.5000,204.2000,1681.3000,4.9000,36.1000,42.5000,120.7000,184.2000,1370.3000,126.8000,39598.0000,0.2930,1788
VA 2019,9.0000,0.4686,8535519.0000,1850.7000,208.0000,1642.7000,5.0000,33.0000,41.3000,128.7000,162.8000,1359.5000,120.3000,39598.0000,0.2930,1788
VT 2015,1.0000,6.3889,626088.0000,1567.0000,119.3000,1447.7000,1.6000,16.6000,16.8000,77.0000,324.9000,1091.5000,31.3000,9249.0000,0.2880,1791
VT 2016,2.0000,6.4042,624594.0000,1855.7000,158.3000,1697.4000,2.2000,19.9000,17.0000,110.6000,336.7000,1315.6000,45.1000,9249.0000,0.2880,1791
VT 2017,1.0000,6.4049,624525.0000,1668.7000,173.3000,1495.4000,2.7000,40.7000,16.0000,113.8000,311.4000,1147.9000,36.0000,9249.0000,0.2880,1791
VT 2018,2.0000,6.4066,624358.0000,1500.1000,185.0000,1315.1000,1.8000,52.2000,11.7000,119.3000,239.6000,1033.2000,42.3000,9249.0000,0.2880,1791
VT 2019,2.0000,6.4104,623989.0000,1626.6000,202.2000,1424.4000,1.8000,44.6000,11.4000,144.6000,204.3000,1172.3000,47.8000,9249.0000,0.2880,1791
WA 2015,16.0000,0.5586,7160290.0000,3770.5000,286.4000,3484.1000,3.0000,28.0000,76.1000,168.4000,713.9000,2393.7000,376.6000,66582.0000,0.2770,1889
WA 2016,24.0000,0.5488,7288000.0000,3796.3000,302.2000,3494.1000,2.7000,31.0000,77.5000,179.7000,674.8000,2376.3000,443.0000,66582.0000,0.2770,1889
WA 2017,30.0000,0.5387,7425432.0000,3470.4000,302.8000,3167.6000,3.0000,44.4000,72.5000,182.8000,588.3000,2183.8000,395.5000,66582.0000,0.2770,1889
WA 2018,16.0000,0.5316,7523869.0000,3282.6000,315.3000,2967.3000,3.1000,48.0000,73.9000,190.3000,537.4000,2059.3000,370.6000,66582.0000,0.2770,1889
WA 2019,30.0000,0.5253,7614893.0000,2975.8000,293.9000,2681.9000,2.6000,43.8000,67.6000,179.9000,453.6000,1907.9000,320.5000,66582.0000,0.2770,1889
WI 2015,11.0000,0.6935,5767891.0000,2283.7000,304.3000,1979.4000,4.2000,23.0000,90.7000,178.1000,339.8000,1448.9000,190.7000,54314.0000,0.3470,1848
WI 2016,17.0000,0.6922,5778708.0000,2239.2000,305.9000,1933.3000,4.0000,25.2000,81.4000,186.3000,336.1000,1424.8000,172.3000,54314.0000,0.3470,1848
WI 2017,24.0000,0.6906,5792051.0000,2133.0000,321.8000,1811.2000,3.3000,37.6000,75.4000,205.4000,303.3000,1344.4000,163.5000,54314.0000,0.3470,1848
WI 2018,10.0000,0.6888,5807406.0000,1870.1000,299.0000,1571.1000,3.0000,40.2000,60.1000,195.7000,244.2000,1177.5000,149.4000,54314.0000,0.3470,1848
WI 2019,17.0000,0.6870,5822434.0000,1764.6000,293.2000,1471.4000,3.0000,38.8000,51.4000,200.0000,217.6000,1127.0000,126.8000,54314.0000,0.3470,1848
WV 2015,8.0000,2.1727,1841053.0000,2449.2000,347.5000,2101.7000,4.6000,26.8000,42.5000,261.8000,514.2000,1465.7000,121.8000,24087.0000,0.5420,1863
WV 2016,11.0000,2.1845,1831102.0000,2405.3000,358.1000,2047.2000,4.4000,25.6000,39.3000,278.5000,507.9000,1402.3000,137.0000,24087.0000,0.5420,1863
WV 2017,9.0000,2.2014,1817048.0000,2153.1000,361.2000,1791.9000,5.4000,43.6000,37.0000,275.2000,415.9000,1206.2000,169.8000,24087.0000,0.5420,1863
WV 2018,6.0000,2.2169,1804291.0000,1845.5000,299.9000,1545.6000,4.2000,39.7000,18.5000,237.5000,327.9000,1096.4000,121.3000,24087.0000,0.5420,1863
WV 2019,12.0000,2.2320,1792147.0000,1900.0000,316.6000,1583.4000,4.4000,42.1000,21.1000,249.1000,328.7000,1119.7000,135.0000,24087.0000,0.5420,1863
WY 2015,5.0000,6.8195,586555.0000,2122.7000,221.6000,1901.1000,2.7000,21.1000,10.1000,179.7000,300.4000,1499.8000,100.9000,97105.0000,0.5380,1890
WY 2016,2.0000,6.8318,585501.0000,2201.5000,244.2000,1957.3000,3.4000,25.6000,10.1000,195.7000,302.5000,1518.2000,136.6000,97105.0000,0.5380,1890
WY 2017,1.0000,6.9093,578934.0000,2053.1000,234.6000,1818.5000,2.4000,43.7000,16.9000,171.5000,268.8000,1418.3000,131.4000,97105.0000,0.5380,1890
WY 2018,4.0000,6.9252,577601.0000,1998.4000,213.8000,1784.6000,2.4000,45.2000,13.0000,153.2000,268.5000,1380.5000,135.6000,97105.0000,0.5380,1890
WY 2019,1.0000,6.9113,578759.0000,1788.5000,217.4000,1571.1000,2.2000,56.0000,11.6000,147.6000,241.2000,1206.7000,123.2000,97105.0000,0.5380,1890
